          xle           xte             y             z    twist(deg)            a0    alfZL(deg)
  15.16683894   29.07862714   32.52539106    0.00000000    5.94128239    6.28318531    0.00000000
  15.38325719   29.17882912   32.98950150    0.00000000    5.96008064    6.28318531    0.00000000
  15.59873595   29.27859611   33.45159720    0.00000000    5.97868244    6.28318531    0.00000000
  15.81326206   29.37792202   33.91164992    0.00000000    5.99707954    6.28318531    0.00000000
  16.02682241   29.47680079   34.36963157    0.00000000    6.01526343    6.28318531    0.00000000
  16.23940396   29.57522637   34.82551418    0.00000000    6.03322539    6.28318531    0.00000000
  16.45099374   29.67319276   35.27926992    0.00000000    6.05095643    6.28318531    0.00000000
  16.66157881   29.77069397   35.73087106    0.00000000    6.06844733    6.28318531    0.00000000
  16.87114632   29.86772404   36.18029003    0.00000000    6.08568860    6.28318531    0.00000000
  17.07968346   29.96427706   36.62749938    0.00000000    6.10267050    6.28318531    0.00000000
  17.28717751   30.06034712   37.07247180    0.00000000    6.11938302    6.28318531    0.00000000
  17.49361578   30.15592835   37.51518011    0.00000000    6.13581586    6.28318531    0.00000000
  17.69898568   30.25101493   37.95559728    0.00000000    6.15195847    6.28318531    0.00000000
  17.90327466   30.34560103   38.39369641    0.00000000    6.16779999    6.28318531    0.00000000
  18.10647024   30.43968089   38.82945073    0.00000000    6.18332928    6.28318531    0.00000000
  18.30856001   30.53324877   39.26283365    0.00000000    6.19853491    6.28318531    0.00000000
  18.50953164   30.62629893   39.69381869    0.00000000    6.21340513    6.28318531    0.00000000
  18.70937284   30.71882572   40.12237953    0.00000000    6.22792791    6.28318531    0.00000000
  18.90807142   30.81082346   40.54849000    0.00000000    6.24209087    6.28318531    0.00000000
  19.10561523   30.90228654   40.97212408    0.00000000    6.25588134    6.28318531    0.00000000
  19.30199221   30.99320938   41.39325588    0.00000000    6.26928633    6.28318531    0.00000000
  19.49719038   31.08358643   41.81185970    0.00000000    6.28229250    6.28318531    0.00000000
  19.69119780   31.17341216   42.22790996    0.00000000    6.29488619    6.28318531    0.00000000
  19.88400264   31.26268109   42.64138126    0.00000000    6.30705341    6.28318531    0.00000000
  20.07559310   31.35138777   43.05224834    0.00000000    6.31877982    6.28318531    0.00000000
  20.26595751   31.43952678   43.46048612    0.00000000    6.33005072    6.28318531    0.00000000
  20.45508422   31.52709273   43.86606966    0.00000000    6.34085108    6.28318531    0.00000000
  20.64296169   31.61408029   44.26897420    0.00000000    6.35116550    6.28318531    0.00000000
  20.82957844   31.70048413   44.66917511    0.00000000    6.36097824    6.28318531    0.00000000
  21.01492308   31.78629898   45.06664797    0.00000000    6.37027318    6.28318531    0.00000000
  21.19898428   31.87151959   45.46136850    0.00000000    6.37903386    6.28318531    0.00000000
  21.38175081   31.95614078   45.85331259    0.00000000    6.38724342    6.28318531    0.00000000
  21.56321151   32.04015735   46.24245631    0.00000000    6.39488465    6.28318531    0.00000000
  21.74335529   32.12356420   46.62877588    0.00000000    6.40193999    6.28318531    0.00000000
  21.92217114   32.20635621   47.01224773    0.00000000    6.40839147    6.28318531    0.00000000
  22.09964816   32.28852834   47.39284841    0.00000000    6.41422077    6.28318531    0.00000000
  22.27577549   32.37007556   47.77055470    0.00000000    6.41940920    6.28318531    0.00000000
  22.45054239   32.45099290   48.14534353    0.00000000    6.42393768    6.28318531    0.00000000
  22.62393818   32.53127541   48.51719200    0.00000000    6.42778679    6.28318531    0.00000000
  22.79595227   32.61091820   48.88607740    0.00000000    6.43093671    6.28318531    0.00000000
  22.96657415   32.68991639   49.25197721    0.00000000    6.43336728    6.28318531    0.00000000
  23.13579341   32.76826516   49.61486909    0.00000000    6.43505796    6.28318531    0.00000000
  23.30359971   32.84595974   49.97473086    0.00000000    6.43598786    6.28318531    0.00000000
  23.46998280   32.92299536   50.33154055    0.00000000    6.43613574    6.28318531    0.00000000
  23.63493253   32.99936733   50.68527637    0.00000000    6.43548001    6.28318531    0.00000000
  23.79843880   33.07507099   51.03591671    0.00000000    6.43399873    6.28318531    0.00000000
  23.96049165   33.15010170   51.38344017    0.00000000    6.43166964    6.28318531    0.00000000
  24.12108118   33.22445490   51.72782551    0.00000000    6.42847017    6.28318531    0.00000000
  24.28019756   33.29812603   52.06905171    0.00000000    6.42437741    6.28318531    0.00000000
  24.43783110   33.37111059   52.40709792    0.00000000    6.41936818    6.28318531    0.00000000
  24.59397216   33.44340414   52.74194350    0.00000000    6.41341899    6.28318531    0.00000000
  24.74861121   33.51500225   53.07356800    0.00000000    6.40650610    6.28318531    0.00000000
  24.90173879   33.58590056   53.40195117    0.00000000    6.39860549    6.28318531    0.00000000
  25.05334557   33.65609472   53.72707295    0.00000000    6.38969292    6.28318531    0.00000000
  25.20342227   33.72558047   54.04891348    0.00000000    6.37974392    6.28318531    0.00000000
  25.35195974   33.79435354   54.36745312    0.00000000    6.36873384    6.28318531    0.00000000
  25.49894891   33.86240975   54.68267240    0.00000000    6.35663783    6.28318531    0.00000000
  25.64438079   33.92974493   54.99455207    0.00000000    6.34343092    6.28318531    0.00000000
  25.78824650   33.99635497   55.30307309    0.00000000    6.32908797    6.28318531    0.00000000
  25.93053727   34.06223581   55.60821662    0.00000000    6.31358380    6.28318531    0.00000000
  26.07124439   34.12738342   55.90996402    0.00000000    6.29689311    6.28318531    0.00000000
  26.21035927   34.19179383   56.20829685    0.00000000    6.27899060    6.28318531    0.00000000
  26.34787343   34.25546309   56.50319691    0.00000000    6.25985097    6.28318531    0.00000000
  26.48377846   34.31838732   56.79464618    0.00000000    6.23944893    6.28318531    0.00000000
  26.61806605   34.38056269   57.08262686    0.00000000    6.21775930    6.28318531    0.00000000
  26.75072802   34.44198538   57.36712136    0.00000000    6.19475700    6.28318531    0.00000000
  26.88175625   34.50265165   57.64811231    0.00000000    6.17041711    6.28318531    0.00000000
  27.01114275   34.56255779   57.92558255    0.00000000    6.14471492    6.28318531    0.00000000
  27.13887961   34.62170015   58.19951513    0.00000000    6.11762598    6.28318531    0.00000000
  27.26495903   34.68007512   58.46989333    0.00000000    6.08912614    6.28318531    0.00000000
  27.38937331   34.73767912   58.73670062    0.00000000    6.05919162    6.28318531    0.00000000
  27.51211486   34.79450864   58.99992072    0.00000000    6.02779904    6.28318531    0.00000000
  27.63317618   34.85056022   59.25953755    0.00000000    5.99492550    6.28318531    0.00000000
  27.75254987   34.90583042   59.51553525    0.00000000    5.96054865    6.28318531    0.00000000
  27.87022864   34.96031587   59.76789819    0.00000000    5.92464673    6.28318531    0.00000000
  27.98620531   35.01401324   60.01661096    0.00000000    5.88719863    6.28318531    0.00000000
  28.10047279   35.06691926   60.26165837    0.00000000    5.84818399    6.28318531    0.00000000
  28.21302411   35.11903069   60.50302545    0.00000000    5.80758325    6.28318531    0.00000000
  28.32385239   35.17034435   60.74069746    0.00000000    5.76537772    6.28318531    0.00000000
  28.43295086   35.22085711   60.97465989    0.00000000    5.72154967    6.28318531    0.00000000
  28.54031286   35.27056588   61.20489844    0.00000000    5.67608241    6.28318531    0.00000000
  28.64593183   35.31946762   61.43139906    0.00000000    5.62896033    6.28318531    0.00000000
  28.74980133   35.36755936   61.65414791    0.00000000    5.58016903    6.28318531    0.00000000
  28.85191500   35.41483814   61.87313140    0.00000000    5.52969539    6.28318531    0.00000000
  28.95226662   35.46130110   62.08833614    0.00000000    5.47752763    6.28318531    0.00000000
  29.05085005   35.50694537   62.29974899    0.00000000    5.42365543    6.28318531    0.00000000
  29.14765928   35.55176819   62.50735704    0.00000000    5.36807000    6.28318531    0.00000000
  29.24268838   35.59576681   62.71114761    0.00000000    5.31076417    6.28318531    0.00000000
  29.33593157   35.63893855   62.91110826    0.00000000    5.25173249    6.28318531    0.00000000
  29.42738313   35.68128076   63.10722677    0.00000000    5.19097131    6.28318531    0.00000000
  29.51703749   35.72279087   63.29949117    0.00000000    5.12847886    6.28318531    0.00000000
  29.60488918   35.76346633   63.48788972    0.00000000    5.06425537    6.28318531    0.00000000
  29.69093282   35.80330467   63.67241090    0.00000000    4.99830316    6.28318531    0.00000000
  29.77516316   35.84230344   63.85304345    0.00000000    4.93062669    6.28318531    0.00000000
  29.85757506   35.88046028   64.02977634    0.00000000    4.86123270    6.28318531    0.00000000
  29.93816348   35.91777284   64.20259877    0.00000000    4.79013028    6.28318531    0.00000000
  30.01692351   35.95423885   64.37150019    0.00000000    4.71733095    6.28318531    0.00000000
  30.09385033   35.98985608   64.53647029    0.00000000    4.64284876    6.28318531    0.00000000
  30.16893924   36.02462237   64.69749898    0.00000000    4.56670039    6.28318531    0.00000000
  30.24218566   36.05853557   64.85457644    0.00000000    4.48890520    6.28318531    0.00000000
  30.31358512   36.09159363   65.00769307    0.00000000    4.40948536    6.28318531    0.00000000
  30.38313325   36.12379452   65.15683952    0.00000000    4.32846587    6.28318531    0.00000000
  30.45082581   36.15513628   65.30200668    0.00000000    4.24587473    6.28318531    0.00000000
  30.51665866   36.18561699   65.44318569    0.00000000    4.16174292    6.28318531    0.00000000
  30.58062779   36.21523479   65.58036792    0.00000000    4.07610456    6.28318531    0.00000000
  30.64272928   36.24398787   65.71354500    0.00000000    3.98899694    6.28318531    0.00000000
  30.70295934   36.27187448   65.84270878    0.00000000    3.90046061    6.28318531    0.00000000
  30.76131430   36.29889292   65.96785140    0.00000000    3.81053946    6.28318531    0.00000000
  30.81779059   36.32504153   66.08896519    0.00000000    3.71928081    6.28318531    0.00000000
  30.87238476   36.35031871   66.20604277    0.00000000    3.62673545    6.28318531    0.00000000
  30.92509348   36.37472293   66.31907698    0.00000000    3.53295778    6.28318531    0.00000000
  30.97591352   36.39825269   66.42806092    0.00000000    3.43800583    6.28318531    0.00000000
  31.02484179   36.42090655   66.53298794    0.00000000    3.34194145    6.28318531    0.00000000
  31.07187530   36.44268313   66.63385162    0.00000000    3.24483033    6.28318531    0.00000000
  31.11701117   36.46358111   66.73064581    0.00000000    3.14674219    6.28318531    0.00000000
  31.16024665   36.48359920   66.82336459    0.00000000    3.04775089    6.28318531    0.00000000
  31.20157910   36.50273619   66.91200231    0.00000000    2.94793463    6.28318531    0.00000000
  31.24100599   36.52099090   66.99655355    0.00000000    2.84737616    6.28318531    0.00000000
  31.27852491   36.53836222   67.07701314    0.00000000    2.74616303    6.28318531    0.00000000
  31.31413358   36.55484909   67.15337617    0.00000000    2.64438798    6.28318531    0.00000000
  31.34782982   36.57045049   67.22563798    0.00000000    2.54214927    6.28318531    0.00000000
  31.37961156   36.58516549   67.29379416    0.00000000    2.43955131    6.28318531    0.00000000
  31.40947688   36.59899318   67.35784054    0.00000000    2.33670533    6.28318531    0.00000000
  31.43742394   36.61193271   67.41777321    0.00000000    2.23373030    6.28318531    0.00000000
  31.46345105   36.62398330   67.47358851    0.00000000    2.13075416    6.28318531    0.00000000
  31.48755660   36.63514421   67.52528303    0.00000000    2.02791551    6.28318531    0.00000000
  31.50973913   36.64541475   67.57285362    0.00000000    1.92536585    6.28318531    0.00000000
