          xle           xte             y             z    twist(deg)            a0    alfZL(deg)
  51.39225367   66.21192112   32.86249929    1.92701470    6.02071729    6.28318531    0.00000000
  51.61931234   66.32668311   33.33096573    1.95448497    6.03534028    6.28318531    0.00000000
  51.84537449   66.44094143   33.79737616    1.98183467    6.04968705    6.28318531    0.00000000
  52.07042618   66.55468904   34.26170180    2.00906213    6.06374891    6.28318531    0.00000000
  52.29445353   66.66791891   34.72391403    2.03616566    6.07751698    6.28318531    0.00000000
  52.51744271   66.78062407   35.18398432    2.06314359    6.09098216    6.28318531    0.00000000
  52.73937998   66.89279755   35.64188429    2.08999426    6.10413516    6.28318531    0.00000000
  52.96025163   67.00443244   36.09758571    2.11671600    6.11696651    6.28318531    0.00000000
  53.18004405   67.11552186   36.55106046    2.14330718    6.12946649    6.28318531    0.00000000
  53.39874369   67.22605896   37.00228056    2.16976615    6.14162520    6.28318531    0.00000000
  53.61633704   67.33603690   37.45121819    2.19609127    6.15343251    6.28318531    0.00000000
  53.83281068   67.44544892   37.89784566    2.22228093    6.16487809    6.28318531    0.00000000
  54.04815127   67.55428825   38.34213540    2.24833351    6.17595137    6.28318531    0.00000000
  54.26234552   67.66254819   38.78406003    2.27424740    6.18664158    6.28318531    0.00000000
  54.47538022   67.77022206   39.22359226    2.30002101    6.19693772    6.28318531    0.00000000
  54.68724222   67.87730322   39.66070501    2.32565274    6.20682857    6.28318531    0.00000000
  54.89791846   67.98378506   40.09537129    2.35114101    6.21630267    6.28318531    0.00000000
  55.10739595   68.08966101   40.52756430    2.37648425    6.22534834    6.28318531    0.00000000
  55.31566175   68.19492455   40.95725738    2.40168090    6.23395369    6.28318531    0.00000000
  55.52270303   68.29956917   41.38442403    2.42672940    6.24210657    6.28318531    0.00000000
  55.72850701   68.40358843   41.80903789    2.45162821    6.24979462    6.28318531    0.00000000
  55.93306100   68.50697591   42.23107277    2.47637580    6.25700524    6.28318531    0.00000000
  56.13635238   68.60972522   42.65050264    2.50097063    6.26372560    6.28318531    0.00000000
  56.33836861   68.71183004   43.06730162    2.52541118    6.26994263    6.28318531    0.00000000
  56.53909723   68.81328407   43.48144401    2.54969596    6.27564305    6.28318531    0.00000000
  56.73852585   68.91408104   43.89290426    2.57382346    6.28081332    6.28318531    0.00000000
  56.93664218   69.01421474   44.30165699    2.59779219    6.28543970    6.28318531    0.00000000
  57.13343399   69.11367899   44.70767699    2.62160068    6.28950819    6.28318531    0.00000000
  57.32888915   69.21246765   45.11093920    2.64524746    6.29300459    6.28318531    0.00000000
  57.52299560   69.31057464   45.51141876    2.66873107    6.29591446    6.28318531    0.00000000
  57.71574136   69.40799390   45.90909096    2.69205005    6.29822314    6.28318531    0.00000000
  57.90711455   69.50471942   46.30393127    2.71520298    6.29991574    6.28318531    0.00000000
